"x" "y" "t"
"1" 8.8161111732734 4.80525973806953 1
"2" 9.45212953117962 4.23249763099229 1
"3" 7.91337543947102 4.18667666242611 1
"4" 8.9186947793873 3.3160782596687 1
"5" 7.17477347545089 3.27025729110252 1
"6" 8.46732691248612 1.66652339128625 1
"7" 7.0516731481142 1.46032903273845 1
"8" 5.41033545029169 2.51421130976057 1
"9" 8.22112625781274 1.39159757988918 1
"10" 8.5904272398228 6.36317266931962 1
"11" 7.58510789990652 6.4089936378858 0
"12" 8.73404428838227 4.75943876950335 0
"13" 6.99012298444586 5.17182748659896 0
"14" 8.5904272398228 3.20152583825326 0
"15" 5.73860298985619 4.16376617814302 0
"16" 5.77963643230175 3.52227261821651 0
"17" 6.02583708697513 2.88077905829 0
"18" 5.47188561396003 2.17055404551422 0
"19" 3.87158135858308 2.30801695121276 0
"20" 4.48708299526653 1.7810758127017 0
"21" 2.06610989097832 2.26219598264658 0
"22" 1.63525874529991 2.97242099542236 0
"23" 1.28647448451263 3.15570486968708 0
"24" 0.99924038739369 3.56809358678269 0
"25" 0.773556453943096 3.91175085102903 0
"26" 0.609422684160844 4.2095871467092 0
"27" 0.260638423373561 5.05727506518351 0
"28" 0.0349544899229657 5.83623153080856 0
"29" -0.0881458374137227 6.31735170075344 0
"30" -0.108662558636504 7.02757671352922 0
"31" -0.170212722304848 8.47093722336386 0
"32" -0.19072944352763 8.86041545617638 0
